strategy,return_pct,risk_adjusted,consistency,max_drawdown,total_invested,profit_loss,total_trades
Red Day 0% Below MA50,3.94,0.74,5.8,4.31,50.0,1.97,5
Red Day (>1.5% drop),0.32,0.1,3.24,2.06,150.0,0.48,15
Red Day (>1.0% drop),0.17,0.08,3.17,1.08,160.0,0.27,16
Red Day (>0.5% drop),0.07,0.04,3.19,1.08,190.0,0.14,19
3% Drop from 10D High,-0.05,-0.05,2.38,0.0,230.0,-0.12,23
Red Day (>3.0% drop),-0.12,-0.02,5.87,4.31,60.0,-0.07,6
Red Day 0% Below MA20,-0.27,-0.04,6.4,5.15,90.0,-0.24,9
3% Drop from 14D High,-0.14,-0.14,2.38,0.0,240.0,-0.33,24
2% Drop from 10D High,-0.38,-0.23,2.8,0.67,370.0,-1.4,37
2% Drop from 14D High,-0.38,-0.23,2.8,0.67,370.0,-1.4,37
3% Drop from 20D High,-0.49,-0.49,2.5,0.0,260.0,-1.27,26
4 Consecutive Red Days,-1.88,-1.88,100.0,0.0,50.0,-0.94,5
Red Day (>2.0% drop),-0.52,-0.08,3.86,5.5,100.0,-0.52,10
7% Drop from 20D High,-1.08,-0.18,0.45,5.15,60.0,-0.65,6
Red Day 1% Below MA20,-1.08,-0.18,0.45,5.15,60.0,-0.65,6
7% Drop from 7D High,-1.1,-1.1,0.68,0.0,50.0,-0.55,5
7% Drop from 10D High,-1.1,-1.1,0.68,0.0,50.0,-0.55,5
7% Drop from 14D High,-1.1,-1.1,0.68,0.0,50.0,-0.55,5
Red Day 2% Below MA10,-1.1,-1.1,0.68,0.0,50.0,-0.55,5
3 Consecutive Red Days,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
Red Day + Price Position <25% (20D),-2.25,-2.25,100.0,0.0,60.0,-1.35,6
3 Red Days + 1% Total Drop,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
3 Red Days + 2% Total Drop,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
3 Red Days + Below MA5,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
3 Red Days + Below MA10,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
3 Red Days + Below MA20,-2.25,-2.25,100.0,0.0,60.0,-1.35,6
2% Drop from 3D High,-0.62,-0.37,2.65,0.67,320.0,-2.0,32
2% Drop from 5D High,-0.68,-0.41,2.49,0.67,360.0,-2.45,36
2% Drop from 7D High,-0.68,-0.41,2.49,0.67,360.0,-2.45,36
2% Drop from 20D High,-0.75,-0.45,2.94,0.67,400.0,-3.01,40
Red Day 0% Below MA10,-0.91,-0.17,5.94,4.31,130.0,-1.18,13
2 Red Days + Below MA10,-1.69,-1.69,1.06,0.0,80.0,-1.35,8
2 Red Days + 2% Total Drop,-1.92,-0.63,1.2,2.06,50.0,-0.96,5
Red Day + Price Position <15% (10D),-1.93,-1.93,1.12,0.0,70.0,-1.35,7
Red Day + Price Position <20% (10D),-1.93,-1.93,1.12,0.0,70.0,-1.35,7
Red Day + Price Position <25% (10D),-1.93,-1.93,1.12,0.0,70.0,-1.35,7
2 Red Days + Below MA20,-1.93,-1.93,1.12,0.0,70.0,-1.35,7
Red Day 0% Below MA5,-1.08,-0.38,2.76,1.84,200.0,-2.15,20
Red Day 2% Below MA5,-2.1,-0.72,1.45,1.91,80.0,-1.68,8
2 Red Days + 1% Total Drop,-2.23,-0.36,0.75,5.15,80.0,-1.78,8
3% Drop from 5D High,-1.14,-1.14,1.44,0.0,210.0,-2.39,21
3% Drop from 7D High,-1.14,-1.14,1.44,0.0,210.0,-2.39,21
3% Drop from 3D High,-1.19,-1.19,1.55,0.0,200.0,-2.39,20
Red Day 1% Below MA5,-1.28,-0.45,3.07,1.84,150.0,-1.92,15
5% Drop from 3D High,-2.48,-0.85,1.67,1.91,90.0,-2.23,9
2 Consecutive Red Days,-1.95,-0.32,1.07,5.15,110.0,-2.14,11
2 Red Days + Below MA5,-1.95,-0.32,1.07,5.15,110.0,-2.14,11
5% Drop from 20D High,-2.06,-2.06,1.29,0.0,150.0,-3.09,15
5% Drop from 5D High,-2.14,-2.14,1.33,0.0,130.0,-2.78,13
5% Drop from 7D High,-2.14,-2.14,1.33,0.0,130.0,-2.78,13
5% Drop from 10D High,-2.14,-2.14,1.33,0.0,130.0,-2.78,13
5% Drop from 14D High,-2.14,-0.49,1.33,3.4,140.0,-3.0,14
Red Day 1% Below MA10,-2.29,-2.29,0.05,0.0,100.0,-2.29,10
