Symbol,Trades,Invested,Current_Value,Profit_Loss,Return_Pct
AAPL,110,1100.0,1327.75,227.75,20.7
MSFT,113,1130.0,1259.01,129.01,11.42
GOOGL,115,1150.0,1739.97,589.97,51.3
AMZN,119,1190.0,1375.86,185.86,15.62
NVDA,116,1160.0,1556.4,396.4,34.17
META,118,1180.0,1135.01,-44.99,-3.81
TSLA,122,1220.0,1585.13,365.13,29.93
V,113,1130.0,1127.56,-2.44,-0.22
UNH,126,1260.0,1074.41,-185.59,-14.73
XOM,116,1160.0,1255.34,95.34,8.22
JNJ,112,1120.0,1322.42,202.42,18.07
JPM,106,1060.0,1276.95,216.95,20.47
WMT,114,1140.0,1226.59,86.59,7.6
MA,114,1140.0,1147.77,7.77,0.68
PG,114,1140.0,1059.6,-80.4,-7.05
LLY,110,1100.0,1308.46,208.46,18.95
AVGO,112,1120.0,1695.92,575.92,51.42
HD,135,1350.0,1318.75,-31.25,-2.31
CVX,113,1130.0,1186.41,56.41,4.99
MRK,124,1240.0,1260.79,20.79,1.68
ABBV,116,1160.0,1336.77,176.77,15.24
COST,125,1250.0,1205.36,-44.64,-3.57
ADBE,123,1230.0,1038.07,-191.93,-15.6
PEP,127,1270.0,1287.56,17.56,1.38
TMO,126,1260.0,1502.84,242.84,19.27
MCD,122,1220.0,1226.94,6.94,0.57
CSCO,110,1100.0,1246.75,146.75,13.34
NFLX,115,1150.0,1195.51,45.51,3.96
ABT,114,1140.0,1147.68,7.68,0.67
ACN,126,1260.0,1046.11,-213.89,-16.98
DHR,123,1230.0,1259.73,29.73,2.42
VZ,123,1230.0,1212.38,-17.62,-1.43
WFC,118,1180.0,1361.29,181.29,15.36
DIS,130,1300.0,1319.28,19.28,1.48
LIN,127,1270.0,1185.48,-84.52,-6.65
NKE,134,1340.0,1194.5,-145.5,-10.86
PM,102,1020.0,1043.28,23.28,2.28
TXN,120,1200.0,1067.28,-132.72,-11.06
NEE,120,1200.0,1417.53,217.53,18.13
CMCSA,127,1270.0,1028.38,-241.62,-19.02
HON,131,1310.0,1256.94,-53.06,-4.05
RTX,106,1060.0,1388.42,328.42,30.98
UPS,126,1260.0,1212.37,-47.63,-3.78
QCOM,115,1150.0,1270.94,120.94,10.52
AMGN,115,1150.0,1307.03,157.03,13.65
BMY,119,1190.0,1138.51,-51.49,-4.33
T,110,1100.0,1073.24,-26.76,-2.43
LOW,127,1270.0,1242.75,-27.25,-2.15
SPGI,122,1220.0,1196.09,-23.91,-1.96
INTU,125,1250.0,1250.37,0.37,0.03
