Symbol,Trades,Buy_Trades,Sell_Trades,Invested,Total_Value,Profit_Loss,Return_Pct
AAPL,22,10,12,100.0,117.04,17.04,17.04
MSFT,22,10,12,100.0,116.92,16.92,16.92
GOOGL,20,9,11,90.0,105.91,15.91,17.67
AMZN,18,14,4,140.0,179.69,39.69,28.35
NVDA,26,10,16,100.0,159.74,59.74,59.74
META,16,12,4,120.0,137.56,17.56,14.63
TSLA,32,13,19,130.0,187.23,57.23,44.03
V,5,4,1,40.0,41.82,1.82,4.55
UNH,25,18,7,180.0,194.55,14.55,8.08
XOM,5,2,3,20.0,23.07,3.07,15.33
JNJ,3,1,2,10.0,11.34,1.34,13.4
JPM,8,3,5,30.0,43.08,13.08,43.61
WMT,5,2,3,20.0,24.48,4.48,22.41
MA,8,7,1,70.0,76.32,6.32,9.03
PG,9,9,0,90.0,87.69,-2.31,-2.57
LLY,15,6,9,60.0,81.13,21.13,35.22
AVGO,18,7,11,70.0,105.3,35.3,50.43
HD,21,10,11,100.0,111.48,11.48,11.48
CVX,14,9,5,90.0,104.22,14.22,15.8
MRK,20,14,6,140.0,152.31,12.31,8.79
